epoch,loss,lr,test_acc
1,1.8659579430699653,0.03499143609321807,0.2757
2,1.5860769071847276,0.03496570895274691,0.4263
3,1.439654858368437,0.03492284395412683,0.5218
4,1.3155230535265734,0.034862883399936324,0.6066
5,1.2349974084693147,0.03478588646400325,0.6677
6,1.1795569379311388,0.03469192913300742,0.7146
7,1.1304165200351755,0.03458110413149094,0.7497
8,1.0972363844399562,0.03445352083035021,0.7778
9,1.0649994274844294,0.034309305138900154,0.7968
10,1.041616580370442,0.03414859938061686,0.8132
11,1.020799659173507,0.03397156215268152,0.8232
12,1.0034303026431053,0.03377836816946412,0.8308
13,0.995809485083041,0.033569208090101534,0.84
14,0.9742441329047503,0.03334428833033987,0.8472
15,0.9691076369389243,0.03310383085882713,0.8514
16,0.9532152755790965,0.032848072978056905,0.8545
17,0.9451790807192283,0.0325772670901795,0.8601
18,0.9348153273772706,0.03229168044791146,0.8624
19,0.924294117466568,0.031991594890789406,0.8652
20,0.9216862182178156,0.03167730656702845,0.8674
21,0.9106711737640069,0.031349125641259655,0.87
22,0.9009373155243866,0.03100737598843499,0.8733
23,0.8972983616392326,0.030652394874201867,0.8753
24,0.8872708529615037,0.030284532622062627,0.8779
25,0.8781445667414409,0.029904152267647602,0.8798
26,0.8740478760903448,0.02951162920044271,0.8834
27,0.8731403443057214,0.029107350793325402,0.8857
28,0.8587724203648774,0.028691716020274385,0.8861
29,0.8578399728478678,0.028265135062630453,0.887
30,0.8544229753791829,0.02782802890429707,0.8891
31,0.8479945090268274,0.027380828916280037,0.8917
32,0.8445438869926326,0.026923976430976427,0.8938
33,0.8375073685822889,0.026457922306632752,0.8949
34,0.8309517275646824,0.025983126482402356,0.8965
35,0.8274235942632037,0.025500057524440956,0.8966
36,0.8234575181208608,0.025009192163488434,0.8977
37,0.8142681488448091,0.024511014824393156,0.8998
38,0.8104420007037385,0.024006017148043138,0.9015
39,0.8084808420342253,0.023494697506175825,0.9037
40,0.8038524034078164,0.022977560509545365,0.9025
41,0.7928739583400815,0.02245511650993274,0.902
42,0.78963056976533,0.021927881096490128,0.9034
43,0.7811047645938366,0.021396374586916695,0.9042
44,0.7850353319169311,0.020861121513967833,0.9047
45,0.7752613152384453,0.020322650107804662,0.9042
46,0.7706930083234597,0.01978149177469462,0.9047
47,0.7646343985481945,0.01923818057257764,0.9064
48,0.7595222967360026,0.018693252684015466,0.9059
49,0.7545785255291882,0.018147245887044167,0.908
50,0.7516207323812157,0.01760069902445215,0.9085
51,0.7429696107307053,0.017054151472007395,0.9097
52,0.7380234859788509,0.016508142606158675,0.9102
53,0.7347881291680933,0.015963211271736135,0.9112
54,0.7293119070779942,0.015419895250176497,0.9123
55,0.7267963781076319,0.014878730728797694,0.9112
56,0.7210350644862865,0.014340251771646752,0.9114
57,0.7142982602576771,0.013804989792443016,0.9127
58,0.7071708804353729,0.013273473030137008,0.9135
59,0.7057366390209978,0.012746226027602323,0.9137
60,0.7011032238640749,0.012223769113975158,0.9153
61,0.6953584983220795,0.011706617891152285,0.917
62,0.688489771255142,0.011195282724954202,0.9172
63,0.6830316682910675,0.010690268241455695,0.9185
64,0.6782573164271577,0.010192072828980846,0.9194
65,0.6722894717207955,0.009701188146253911,0.9204
66,0.6685959496309081,0.009218098637191504,0.9216
67,0.6637083196731479,0.008743281052814982,0.9212
68,0.6548477094191725,0.008277203980754688,0.9217
69,0.6510878213683663,0.00782032738281059,0.9215
70,0.6456222544850596,0.0073731021410254685,0.9213
71,0.6433281108089115,0.006935969612718822,0.922
72,0.6411363788120582,0.006509361194920422,0.9224
73,0.6327242958728615,0.0060936978986335915,0.9224
74,0.6302010627353892,0.005689389933348125,0.9224
75,0.6256127051075401,0.005296836302213061,0.9227
76,0.617704982114265,0.004916424408268754,0.9239
77,0.6145386971781016,0.0045485296721268515,0.9243
78,0.6108596888192169,0.0041935151614754486,0.9248
79,0.6084329076587697,0.003851731232775142,0.9245
80,0.6060296538693216,0.0035235151854994848,0.9246
81,0.6004363963823489,0.0032091909292611253,0.9245
82,0.597659990915557,0.002909068664152157,0.9248
83,0.5913458228721034,0.002623444574614032,0.925
84,0.5892521529398915,0.002352600537139316,0.9248
85,0.5871410807380286,0.0020968038420935945,0.9246
86,0.5849631172616768,0.001856306929932176,0.9239
87,0.5810684661578644,0.0016313471420718148,0.9242
88,0.5788603806129807,0.0014221464866634058,0.9237
89,0.5769866723995989,0.001228911419496731,0.9226
90,0.5747444538204262,0.0010518326402535398,0.9229
91,0.5731202976782913,0.000891084904309958,0.9228
92,0.5723426718541118,0.0007468268502740592,0.9228
93,0.5712363046148549,0.000619200843428684,0.9232
94,0.5680751600076476,0.0005083328352341194,0.9241
95,0.5682055181859399,0.0004143322390291951,0.9239
96,0.5676322631976184,0.00033729182205353595,0.9233
97,0.5675169701314033,0.00027728761389749233,0.9226
98,0.5661377684996866,0.00023437883147012245,0.9223
99,0.5650943920892828,0.00020860782055924,0.9221
100,0.5649153565049476,0.00020000001404124019,0.9217
